exports,log_exports,Year,MSA,Per_Capita_Income,Population,Manufacturing_Employment,Top_Corporate_Income_Tax_Rate,FHFA_index,avg_weather,energy_consumption,Minimum_Wage,S&P500_Close,lag_exports
93931822.0,18.358079779206182,2023,"Abilene, TX",56034.0,181591.0,3.5,0.0,327.1925,65.675,5156.0,7.25,4845.65,85837418.0
3116905552.0,21.860106536342148,2023,"Akron, OH",62904.0,698398.0,37.8,0.0,232.26,51.958333333333336,5752.0,10.1,4845.65,2961326540.0
3292878596.0,21.91502797236676,2023,"Albany-Schenectady-Troy, NY",71972.0,904682.0,28.0,0.065,293.24,51.400000000000006,6070.0,14.2,4845.65,3432198647.0
698463725.0,20.364393802599785,2023,"Albany, OR",57016.0,131496.0,8.3,0.076,397.92,52.55,5225.0,14.2,4845.65,714815547.0
789436821.0,20.48683036439201,2023,"Albuquerque, NM",57278.0,922296.0,16.9,0.059,279.4625,58.48333333333332,5441.0,12.0,4845.65,939665363.0
4699600559.0,22.27074335460398,2023,"Allentown-Bethlehem-Easton, PA-NJ",66493.0,873555.0,41.2,0.0899,286.9275,51.95,5786.0,7.25,4845.65,4573676863.0
204297892.0,19.135089741575047,2023,"Altoona, PA",57782.0,120273.0,7.0,0.0899,263.495,52.166666666666664,5688.0,7.25,4845.65,206184371.0
516519611.0,20.06262381482543,2023,"Amarillo, TX",60182.0,272395.0,13.8,0.0,286.42,61.34166666666666,5160.0,7.25,4845.65,653421886.0
1196165053.0,20.902386487133754,2023,"Ann Arbor, MI",77537.0,365536.0,12.5,0.06,294.3925,50.99166666666667,6218.0,10.1,4845.65,1334215011.0
587081756.0,20.190674645777268,2023,"Anniston-Oxford, AL",44737.0,116429.0,6.8,0.065,261.25,63.625,4155.0,7.25,4845.65,363698547.0
1456166806.0,21.09907334471933,2023,"Appleton, WI",64216.0,246433.0,24.9,0.079,285.745,49.53333333333333,6817.0,7.25,4845.65,1228689803.0
886594366.0,20.602898125641907,2023,"Asheville, NC",62050.0,480171.0,19.6,0.025,474.3075,55.76666666666667,4532.0,7.25,4845.65,921200108.0
